Filiere,Module,taux_echec,nb_echecs,effectif,moyenne_module
EET,حقول الكهرومغناطيسية,0.84375,108,128,7.559375
EEC,تحكم حديث,0.7894736842105263,810,1026,7.589863547758284
EED,الهندسة الإلكترونية 2,0.7681159420289855,159,207,7.942995169082126
EEA,هندسة الكترونية 1,0.7544642857142857,338,448,7.144642857142857
EEA,نظرية الدارات الكهربائية,0.7540861812778603,1015,1346,8.034026745913819
EEA,تكنولوجيا المواد الكهربائية,0.7530769230769231,979,1300,5.894153846153846
EEM,هندسة ميكانيكية ,0.7523364485981309,161,214,5.570093457943925
EEM,نظرية الدارات الكهربائية,0.7497425334706488,728,971,8.310401647785788
EEC,هندسة الكترونية,0.7438752783964365,668,898,7.424276169265033
EEE,نظرية الدارات الكهربائية 1,0.7295336787564767,704,965,7.566839378238342
EEM,هندسة ميكانيكية 2,0.720098643649815,584,811,8.16177558569667
EEC,تحكم حديث 1,0.7064846416382252,207,293,8.362457337883958
EEP,الفيزياء العامة,0.7058340180772391,859,1217,9.433853738701725
EED,هندسة الكترونية 2,0.7035398230088495,477,678,8.417109144542772
EEA,نظرية الحقول الكهرطيسية,0.7014028056112225,700,998,7.817234468937876
EEM,الفيزياء العامة,0.7001862197392924,752,1074,9.69217877094972
EET,نظرية الدارات الكهربائية,0.6808080808080809,1011,1485,9.505454545454546
EEE,نظرية الدارات الكهربائية 2,0.6779661016949152,560,826,8.500968523002422
EEM,هندسة ميكانيكية 1,0.6779220779220779,522,770,8.104415584415584
EET,الحقول الكهرومغناطيسية,0.676663542642924,722,1067,8.535895032802248
EEP,تكنولوجيا المواد الكهربائية,0.669889502762431,485,724,8.371270718232044
EED,نظرية الدارات الكهربائية,0.6683366733466933,667,998,9.134468937875752
EEP,الهندسة الميكانيكية,0.6682464454976303,141,211,7.322274881516588
EEC,نظرية الدارات الكهربائية,0.66532582461786,827,1243,9.589863234111021
EEA,برمجيات متقدمة في نظم التحكم 1,0.6595121951219513,676,1025,8.643317073170731
EEC,الخوارزميات وبنى المعطيات,0.6566731141199227,679,1034,9.899419729206963
EET,الخوارزميات وبنى المعطيات,0.6505223171889839,685,1053,9.806837606837608
EED,رياضيات 2,0.6469760900140648,920,1422,9.91729957805907
EEP,مبادئ الهندسة الكهربائية,0.6441647597254004,563,874,9.924485125858123
EEM,برمجة وتطبيقاتها,0.6395348837209303,165,258,9.610852713178295
EEC,التحليل الرياضي,0.6329004329004329,731,1155,8.305627705627705
EEA,رياضيات 2,0.6304347826086957,928,1472,10.296467391304347
EED,مبادئ حواسيب,0.6278836509528586,626,997,9.859177532597794
EEC,رياضيات 2,0.6263736263736264,798,1274,9.582417582417582
EED,اللغة العربية,0.6247689463955638,676,1082,10.363770794824399
EEE,الأدوات الالكترونية,0.6243739565943238,374,599,8.987979966611018
EEA,رياضيات 1,0.6229135053110774,821,1318,9.93080424886191
EEP,اللغة الانكليزية 3,0.6222826086956522,458,736,9.35461956521739
EED,رياضيات 1,0.6214057507987221,778,1252,10.287220447284346
EEE,رياضيات 2,0.6205787781350482,772,1244,9.981189710610932
EED,الهندسة الالكترونية 1,0.6086956521739131,42,69,10.805797101449276
EEE,رياضيات 4,0.6086369770580297,451,741,9.04399460188934
EET,رياضيات 2,0.6078904991948471,755,1242,9.721739130434782
EEM,الهندسة الالكترونية 1,0.606694560669456,145,239,9.100418410041842
EEC,الجبر الخطي,0.6053484602917342,747,1234,10.26645056726094
EEP,الآلات الكهربائية 1,0.6041308089500861,351,581,9.264716006884681
EEM,هندسة الكترونية 1,0.6007604562737643,158,263,9.319391634980988
EEM,رياضيات 4,0.6003372681281619,356,593,8.832377740303542
EEE,نظرية الحقول الكهرطيسية,0.5935828877005348,444,748,8.932620320855616
EEC,هندسة إلكترونية,0.5935483870967742,92,155,10.403870967741934
EEA,رياضيات 3,0.5932038834951456,611,1030,8.742135922330096
EEM,برمجة,0.591304347826087,136,230,10.657391304347826
EED,الفيزياء الحديثة,0.5900990099009901,596,1010,10.204950495049506
EED,مبادئ الهندسة الكهربائية,0.5873180873180873,565,962,10.555717255717257
EET,الدارات الالكترونية,0.5869565217391305,27,46,10.982608695652173
EED,ميكانيك هندسي,0.5865751334858886,769,1311,10.148741418764303
EED,النظم المنطقية والدارات الرقمية,0.5853080568720379,494,844,8.78175355450237
EEP,رياضيات 1,0.5832426550598476,536,919,10.213492927094668
EEC,مبادئ الهندسة الكهربائية,0.5828402366863905,788,1352,10.543491124260354
EEM,رياضيات 3,0.5818452380952381,391,672,8.594642857142858
EED,القياسات الكهربائية وأجهزة القياس,0.5786749482401656,559,966,9.181780538302277
EED,اللغة الانكليزية 3,0.5729783037475346,581,1014,10.205522682445759
EEA,ميكانيك هندسي,0.5725264169068204,596,1041,10.438040345821326
EEM,النظم المنطقية والدارات الرقمية,0.5718157181571816,422,738,10.772357723577235
EEC,رياضيات 1,0.5707908163265306,895,1568,10.340051020408163
EEP,رياضيات 2,0.5698427382053654,616,1081,10.494727104532839
EED,الفيزياء العامة,0.5664251207729468,469,828,10.33768115942029
EEA,برمجة,0.5625,9,16,9.15
EEA,الفيزياء العامة,0.5622457282343368,691,1229,10.626037428803905
EEM,الهندسة الإلكترونية 2,0.5617283950617284,91,162,8.769135802469135
EEP,رياضيات 3,0.5607843137254902,429,765,9.16967320261438
EEM,رياضيات 1,0.5602836879432624,395,705,10.254751773049646
EEP,ميكانيك هندسي,0.558252427184466,460,824,10.234466019417477
EEM,اللغة العربية,0.5510204081632653,405,735,10.617959183673468
EET,تكنولوجيا المواد الكهربائية,0.550561797752809,441,801,9.173283395755305
EEA,مبادئ الهندسة الكهربائية,0.5501489572989077,554,1007,10.787686196623635
EED,رياضيات 3,0.5496342737722049,526,957,8.839289446186
EED,هندسة الكترونية 1,0.5452793834296724,283,519,10.792292870905587
EET,إشارات ونظم,0.5444191343963554,478,878,10.484054669703873
EEP,نظرية الحقول الكهرطيسية,0.5421052631578948,309,570,10.802807017543861
EEP,اللغة العربية,0.5412960609911055,426,787,10.586531130876748
EED,تكنولوجيا المواد الكهربائية,0.5399644760213144,304,563,9.067140319715808
EEM,هندسة الكترونية 2,0.5397590361445783,224,415,9.701204819277109
EEE,ميكانيك هندسي,0.5382907880133185,485,901,10.463041065482798
EEP,هندسة ميكانيكية,0.5380710659898477,212,394,9.991878172588834
EEE,مبادئ الهندسة الكهربائية,0.5364705882352941,456,850,10.698352941176472
EEP,مقاومة المواد وخواصها,0.5363790186125211,317,591,9.576649746192894
EEE,رياضيات 1,0.5358527131782945,553,1032,10.481007751937984
EEE,الأمن الصناعي والاقتصاد الهندسي,0.5298196948682385,382,721,9.756726768377254
EEP,برمجة,0.5279017857142857,473,896,9.657589285714286
EED,هندسة ميكانيكية,0.5276653171390013,391,741,9.686909581646423
EEA,الأمن الصناعي والاقتصاد الهندسي,0.5272511848341233,445,844,8.850236966824644
EEA,برمجيات متقدمة في نظم التحكم 2,0.527122641509434,447,848,9.751415094339624
EEP,لغة انكليزية 2,0.5256609642301711,338,643,10.516018662519441
EEA,الهندسة الإلكترونية 2,0.5255813953488372,113,215,10.453023255813953
EED,لغة انكليزية 2,0.5232843137254902,427,816,10.415196078431372
EEM,مقاومة المواد وخواصها,0.521875,334,640,9.885
EEE,الفيزياء العامة,0.5216981132075472,553,1060,10.903207547169812
EEP,لغة انكليزية 1,0.5149700598802395,344,668,10.666167664670658
EEC,ميكانيك هندسي,0.5142857142857142,504,980,10.619387755102041
EEM,مبادئ حواسيب,0.5136612021857924,282,549,10.500910746812385
EET,مبادئ الهندسة الكهربائية,0.5107604017216643,712,1394,11.437876614060258
EEE,الكيمياء الصناعية,0.5107458912768648,404,791,10.9582806573957
EEA,الفيزياء الحديثة,0.5096899224806202,526,1032,10.882364341085271
EEP,رياضيات 4,0.5054347826086957,186,368,10.005978260869565
EET,ميكانيك هندسي,0.503370786516854,448,890,10.808988764044944
EEE,رياضيات 3,0.5020188425302826,373,743,9.842530282637954
EET,رياضيات 1,0.4973544973544973,658,1323,10.768556311413453
EEA,مبادئ حواسيب,0.4970691676436108,424,853,10.811254396248534
EEM,مبادئ الهندسة الكهربائية,0.495364238410596,374,755,11.085298013245033
EEM,الآلات الكهربائية,0.49427480916030536,259,524,10.277862595419847
EED,رياضيات 4,0.4919678714859438,245,498,9.929317269076305
EED,لغة انكليزية 1,0.49178403755868544,419,852,10.746948356807511
EEA,الكيمياء الصناعية,0.49023090586145646,552,1126,11.301953818827709
EEE,مبادئ حواسيب,0.48931116389548696,412,842,10.716389548693588
EET,الآلات والقيادة الكهربائية,0.4868871151653364,427,877,11.011402508551882
EEA,أسس الهندسة الكهربائية 1,0.48314606741573035,86,178,10.937078651685393
EEC,الفيزياء العامة,0.48176881303335917,621,1289,11.04856477889837
EEM,اللغة الانكليزية 3,0.4780701754385965,327,684,11.297660818713451
EEE,الفيزياء الحديثة,0.4778156996587031,420,879,11.002047781569965
EEE,الرسم الهندسي,0.4764705882352941,405,850,10.599529411764706
EEM,ميكانيك هندسي,0.4758539458186101,404,849,10.620259128386337
EEM,الكيمياء الصناعية,0.47454545454545455,261,550,11.151636363636364
EEE,اللغة الانكليزية 3,0.47262569832402235,423,895,10.551061452513967
EEA,الآلات والقيادة الكهربائية,0.4699599465954606,352,749,10.475033377837116
EEP,الكيمياء الصناعية,0.46776611694152925,312,667,11.125337331334334
EEE,نظم القدرة الكهربائية,0.4647713226205192,376,809,9.747589616810878
EET,رياضيات 3,0.4642438452520516,396,853,10.75474794841735
EEP,مبادئ حواسيب,0.4629032258064516,287,620,10.496129032258064
EET,الفيزياء العامة,0.4617968094038623,550,1191,11.201679261125106
EEC,مبادئ حواسيب,0.46129374337221635,435,943,10.96797454931071
EEM,لغة انكليزية 2,0.45849056603773586,243,530,10.938490566037736
EED,الكيمياء الصناعية,0.45584415584415583,351,770,11.155844155844155
EEA,الهندسة الالكترونية 1,0.4535637149028078,210,463,11.354211663066955
EEE,تكنولوجيا المواد الكهربائية,0.4525790349417637,272,601,10.360066555740431
EEE,القياسات الالكترونية,0.4521452145214521,137,303,11.76105610561056
EEP,الآلات الكهربائية 2,0.44933920704845814,204,454,11.399118942731278
EED,الرسم الهندسي,0.4493116395494368,359,799,10.914893617021276
EET,النظم المنطقية والدارات الرقمية,0.44733861834654587,395,883,11.851642129105322
EEM,رياضيات 2,0.4446227929373997,277,623,11.1223113964687
EEC,برمجة منطقية,0.44321329639889195,320,722,11.810803324099723
EEM,لغة انكليزية 1,0.4397810218978102,241,548,11.333211678832118
EEC,الفيزياء الحديثة,0.43768693918245266,439,1003,11.091326021934197
EEE,مبادئ الاتصالات,0.43202979515828677,232,537,11.505772811918064
EEE,برمجة,0.429042904290429,260,606,11.038613861386137
EEP,الفيزياء الحديثة,0.42752562225475843,292,683,11.547877013177159
EEA,هندسة كهربائية,0.42379958246346555,203,479,9.643841336116909
EET,الأدوات نصف الناقلة,0.42286751361161523,233,551,10.949909255898366
EET,دارات الإلكترونية,0.41714285714285715,73,175,11.130285714285714
EET,مبادئ حواسيب,0.4157303370786517,370,890,11.099101123595506
EEC,الجبر المنطقي,0.41194029850746267,138,335,12.109850746268657
EEP,أسس الهندسة الكهربائية 2,0.4085106382978723,192,470,11.532340425531915
EEP,الثقافة القومية الاشتراكية,0.4066797642436149,207,509,11.386247544204323
EED,اللغة الانكليزية 4,0.40337423312883436,263,652,11.72760736196319
EED,حقول الكهرومغناطيسية,0.4032258064516129,25,62,13.02258064516129
EEM,الفيزياء الحديثة,0.4021164021164021,228,567,11.44268077601411
EEC,الكيمياء الصناعية,0.40075853350189633,634,1582,11.669658659924147
EEA,رياضيات 4,0.3997113997113997,277,693,10.847330447330448
EEA,هندسة الكترونية 2,0.3985102420856611,214,537,11.064432029795158
EET,الفيزياء الحديثة,0.3978835978835979,376,945,11.346666666666668
EEP,أسس الهندسة الكهربائية 1,0.39144215530903326,247,631,10.690015847860538
EEC,بحوث العمليات 1,0.39033942558746737,299,766,11.788772845953003
EEA,لغة انكليزية 1,0.3894348894348894,317,814,11.880098280098279
EET,لغات برمجة,0.38544474393531,286,742,11.375471698113207
EEE,اللغة العربية,0.3800217155266015,350,921,11.499674267100978
EET,الكيمياء الصناعية,0.37795918367346937,463,1225,11.962285714285713
EEC,برمجة,0.37794299876084264,305,807,11.053283767038414
EEA,اللغة الانكليزية 3,0.37327188940092165,243,651,12.769892473118281
EEC,جبر المنطق,0.3709677419354839,69,186,10.863440860215054
EET,اللغة الانكليزية 3,0.36958710976837866,367,993,12.292044310171198
EEM,اللغة الانكليزية 4,0.36885245901639346,180,488,12.418032786885245
EEC,اللغة الانكليزية 3,0.36711990111248455,297,809,12.714462299134734
EED,برمجة,0.3626373626373626,231,637,11.704552590266877
EEC,التحليل العددي,0.3611898016997167,255,706,12.253824362606233
EED,هندسة كهربائية,0.3596358118361153,237,659,11.237936267071321
EEE,لغة انكليزية 1,0.3556430446194226,271,762,11.994225721784778
EEA,اللغة العربية,0.35523613963039014,346,974,11.810266940451745
EEE,اللغة الانكليزية 4,0.35431654676258995,197,556,11.918705035971223
EEA,اللغة الانكليزية 4,0.3511111111111111,237,675,12.153777777777776
EEC,الثقافة القومية الاشتراكية,0.3501006036217304,348,994,11.692957746478873
EED,الحقول المغناطيسية في الآلات الكهربائية,0.3499005964214712,176,503,12.382504970178926
EEA,لغة انكليزية 2,0.34424083769633507,263,764,12.014921465968586
EET,دارات الكترونية,0.34306569343065696,188,548,11.894160583941606
EEM,الرسم الهندسي,0.33865814696485624,106,313,12.024281150159744
EET,رياضيات 4,0.33741496598639453,248,735,12.164081632653062
EEP,اللغة الانكليزية 4,0.32642487046632124,189,579,12.100172711571675
EEC,النظم المنطقية والدارات الرقمية,0.3210227272727273,226,704,12.36335227272727
EEE,القياسات الإلكترونية,0.3127962085308057,66,211,12.939336492890995
EEE,لغة انكليزية 2,0.307475317348378,218,709,12.094217207334273
EEC,الورش الكهربائية والالكترونية,0.30019880715705766,151,503,11.673161033797218
EET,لغة انكليزية 2,0.29140722291407223,234,803,12.464508094645081
EET,الورش الكهربائية والالكترونية,0.28991596638655465,138,476,11.734033613445378
EEC,لغة انكليزية 1,0.2893401015228426,285,985,12.78456852791878
EEC,لغة انكليزية 2,0.286783042394015,230,802,12.320199501246881
EET,لغة انكليزية 1,0.2823920265780731,170,602,12.567441860465117
EEC,لغة انكليزية 4,0.27717391304347827,51,184,13.094565217391304
EET,اللغة الانكليزية 4,0.2728592162554427,188,689,12.932656023222062
EET,الثقافة القومية الاشتراكية,0.2727272727272727,168,616,12.306818181818182
EEM,الثقافة القومية الاشتراكية,0.27251732101616627,118,433,12.500230946882217
EEA,الهندسة الكهربائية,0.2711864406779661,16,59,13.179661016949153
EEA,الرسم الهندسي,0.2679738562091503,123,459,12.709368191721135
EED,الثقافة القومية الاشتراكية,0.2534722222222222,146,576,12.898611111111112
EEP,الورش الكهربائية والالكترونية,0.2532467532467532,78,308,12.152597402597403
EEC,اللغة الانكليزية 4,0.2290748898678414,104,454,13.444052863436124
EET,اللغة العربية,0.22827496757457846,176,771,12.776653696498053
EEC,اللغة العربية,0.2242503259452412,172,767,12.629726205997393
EEE,الثقافة القومية الاشتراكية,0.2176,136,625,13.36096
EEA,الثقافة القومية الاشتراكية,0.1918876755070203,123,641,13.605304212168488
EET,الرسم الهندسي,0.17688679245283018,75,424,14.143396226415096
EEC,الرسم الهندسي,0.16475972540045766,72,437,14.341876430205948
EEE,القياسات الكهربائية وأجهزة القياس,0.15789473684210525,6,38,14.231578947368419
